nms_sigma,pre_nms_topk,max_seg_num,mAP_all,mAP_overlap,mAP_non_overlap,overlap_ratio,time_s
0.58,5000,5000,0.6908120379282607,0.20769624238999956,0.4377130974817244,0.14949374627754616,105.30106091499329
0.58,6000,2000,0.6907674455252153,0.2076898929367971,0.4376836788445244,0.14949374627754616,69.78165316581726
0.58,6000,3000,0.6908023794981548,0.20769725776388395,0.43770082189871395,0.14949374627754616,83.94943308830261
0.58,6000,4000,0.690809280790954,0.20769486414570898,0.4377092153999026,0.14949374627754616,95.73959279060364
0.58,6000,5000,0.6908117291487315,0.2076945054806385,0.4377119855325895,0.14949374627754616,105.3899917602539
0.6,2000,2000,0.6910109648737721,0.20765017214700476,0.43793423352755967,0.14949374627754616,64.24755859375
0.6,2000,3000,0.691045020619734,0.20765898061376636,0.43794850347381437,0.14949374627754616,80.33683371543884
0.6,2000,4000,0.6910624479917542,0.2076602618376749,0.4379590925752229,0.14949374627754616,93.5644896030426
0.6,2000,5000,0.6910695022566709,0.20766004217284567,0.4379650851100748,0.14949374627754616,101.05627584457397
0.6,3000,2000,0.6909992933948291,0.20765092026226073,0.43793651966785746,0.14949374627754616,67.98901176452637
0.6,3000,3000,0.6910302113259967,0.20765416642416076,0.43795652434374627,0.14949374627754616,81.11058139801025
0.6,3000,4000,0.6910418626691378,0.2076549394515633,0.4379628249972044,0.14949374627754616,94.36496424674988
0.6,3000,5000,0.6910496998923692,0.2076551899197409,0.4379696659553911,0.14949374627754616,106.19348931312561
0.6,4000,2000,0.6909989273569799,0.20765093956209948,0.43793560032039885,0.14949374627754616,69.381915807724
0.6,4000,3000,0.6910314815393761,0.20765977606487876,0.4379554433403111,0.14949374627754616,81.7805449962616
0.6,4000,4000,0.6910398285327213,0.2076583545717877,0.4379592945309304,0.14949374627754616,94.68099617958069
0.6,4000,5000,0.6910475631663229,0.20765869371522644,0.43796838009282724,0.14949374627754616,107.05454206466675
0.6,5000,2000,0.6909983827601647,0.20765094182927388,0.437935602433505,0.14949374627754616,69.97258591651917
0.6,5000,3000,0.6910298898377514,0.20765977094310623,0.4379538148109662,0.14949374627754616,83.27046203613281
0.6,5000,4000,0.6910358434875638,0.20765762398715895,0.43795725838001626,0.14949374627754616,96.80286931991577
0.6,5000,5000,0.6910434189911356,0.20765663234883705,0.4379662502062588,0.14949374627754616,106.56270146369934
0.6,6000,2000,0.6909983821236296,0.20765094182927388,0.4379356019124462,0.14949374627754616,71.19766163825989
0.6,6000,3000,0.6910292564525935,0.20765771098128077,0.4379535003996324,0.14949374627754616,85.06942176818848
0.6,6000,4000,0.6910330470399345,0.20765586651194487,0.43795686644468984,0.14949374627754616,97.09476327896118
0.6,6000,5000,0.691039299478338,0.20765491644644046,0.43796352855323406,0.14949374627754616,109.33313155174255
0.62,2000,2000,0.6908615278137759,0.2076227867492276,0.4379598784379345,0.14949374627754616,65.35235118865967
0.62,2000,3000,0.6908927285544705,0.2076295959318096,0.43797356798712633,0.14949374627754616,80.48005199432373
0.62,2000,4000,0.690907818303837,0.20763060968242003,0.43798408834939223,0.14949374627754616,94.73369002342224
0.62,2000,5000,0.6909155212287164,0.20763037654459288,0.43798985785435446,0.14949374627754616,101.9630515575409
0.62,3000,2000,0.6908549311564772,0.20762146199896053,0.43796586065784,0.14949374627754616,66.63160014152527
0.62,3000,3000,0.6908812638616184,0.20762634852904802,0.4379829217638438,0.14949374627754616,81.61080431938171
0.62,3000,4000,0.6908900450490327,0.20762760566686406,0.4379883237539011,0.14949374627754616,95.4746446609497
0.62,3000,5000,0.6908997255206926,0.20762783630309484,0.437997005909197,0.14949374627754616,105.2672643661499
0.62,4000,2000,0.6908549606548778,0.20762147443750467,0.4379653818748828,0.14949374627754616,68.04730033874512
0.62,4000,3000,0.6908810233707567,0.2076328585790738,0.4379797568623687,0.14949374627754616,82.82322716712952
0.62,4000,4000,0.6908880465441913,0.20763107355656776,0.43798485863408426,0.14949374627754616,96.25544810295105
0.62,4000,5000,0.6908964970351779,0.20763142111729077,0.43799473615787843,0.14949374627754616,106.84973335266113
0.62,5000,2000,0.6908549623083119,0.20762147443750467,0.43796538384047645,0.14949374627754616,70.33290147781372
0.62,5000,3000,0.690880537514025,0.2076325189781723,0.43797976761635804,0.14949374627754616,84.69926905632019
0.62,5000,4000,0.6908854545454879,0.2076308346736631,0.4379841004907298,0.14949374627754616,97.65436673164368
